periodo,ibovespa,,Vale,,Petrobras4
31/08/1998,"6472,14",,"0,76",,"0,92"
01/09/1998,"6917,08",,"0,8",,1
02/09/1998,"6804,63",,"0,83",,"1,07"
03/09/1998,"6218,51",,"0,75",,"1,01"
04/09/1998,"5837,22",,"0,68",,"0,97"
08/09/1998,"5817,71",,"0,76",,"0,93"
09/09/1998,"5655,48",,"0,75",,"0,9"
10/09/1998,"4760,57",,"0,73",,"0,74"
11/09/1998,"5398,17",,"0,81",,"0,86"
14/09/1998,"5818,60",,"0,84",,"0,96"
15/09/1998,"6905,38",,"1,02",,"1,15"
16/09/1998,"6759,85",,"0,91",,"1,03"
17/09/1998,"6432,40",,"0,89",,"0,88"
18/09/1998,"6709,56",,"0,92",,"0,91"
21/09/1998,"6449,71",,"0,89",,"0,89"
22/09/1998,"6559,75",,"0,86",,"0,91"
23/09/1998,"7280,32",,"0,93",,"1,05"
24/09/1998,"6844,35",,"0,85",,"0,99"
25/09/1998,"6711,52",,"0,83",,"0,94"
28/09/1998,"6827,38",,"0,84",,"0,96"
29/09/1998,"6868,88",,"0,84",,"0,96"
30/09/1998,"6593,29",,"0,86",,"0,93"
01/10/1998,"5960,45",,"0,82",,"0,85"
02/10/1998,"6409,52",,"0,89",,"0,89"
05/10/1998,"6122,84",,"0,85",,"0,85"
06/10/1998,"6336,35",,"0,89",,"0,89"
07/10/1998,"6156,59",,"0,87",,"0,88"
08/10/1998,"6175,20",,"0,84",,"0,89"
09/10/1998,"6527,54",,"0,85",,"0,95"
13/10/1998,"6618,06",,"0,85",,1
14/10/1998,"6445,47",,"0,84",,"0,99"
15/10/1998,"6874,01",,"0,84",,"1,05"
16/10/1998,"6707,29",,"0,84",,"1,06"
19/10/1998,"6844,38",,"0,84",,"1,08"
20/10/1998,"6973,49",,"0,83",,"1,17"
21/10/1998,"7350,41",,"0,84",,"1,27"
22/10/1998,"7603,43",,"0,9",,"1,27"
23/10/1998,"7272,02",,"0,85",,"1,2"
26/10/1998,"6971,79",,"0,85",,"1,12"
27/10/1998,"6869,14",,"0,84",,"1,1"
28/10/1998,"6826,51",,"0,88",,"1,12"
29/10/1998,"6538,40",,"0,85",,"1,06"
30/10/1998,"7047,40",,"0,9",,"1,15"
03/11/1998,"7509,00",,"0,91",,"1,24"
04/11/1998,"7655,95",,"0,87",,"1,29"
05/11/1998,"8092,85",,"0,93",,"1,37"
06/11/1998,"8214,31",,"0,92",,"1,4"
09/11/1998,"8242,38",,"0,92",,"1,41"
10/11/1998,"8000,46",,"0,89",,"1,38"
11/11/1998,"7762,99",,"0,87",,"1,36"
12/11/1998,"7470,72",,"0,85",,"1,29"
13/11/1998,"7615,13",,"0,87",,"1,33"
16/11/1998,"8003,99",,"0,9",,"1,4"
17/11/1998,"8330,36",,"0,92",,"1,45"
18/11/1998,"8547,07",,"0,96",,"1,48"
19/11/1998,"8317,59",,"0,93",,"1,42"
20/11/1998,"8531,39",,"0,94",,"1,4"
23/11/1998,"8635,88",,"0,93",,"1,41"
24/11/1998,"8606,55",,"0,92",,"1,41"
25/11/1998,"8909,71",,"0,97",,"1,45"
26/11/1998,"8953,74",,"0,96",,"1,4"
27/11/1998,"9093,52",,"0,96",,"1,39"
30/11/1998,"8631,15",,"0,87",,"1,29"
01/12/1998,"8544,55",,"0,86",,"1,32"
02/12/1998,"8448,61",,"0,85",,"1,35"
03/12/1998,"7706,29",,"0,81",,"1,23"
04/12/1998,"7626,74",,"0,79",,"1,22"
07/12/1998,"7945,78",,"0,84",,"1,26"
08/12/1998,"7629,24",,"0,82",,"1,23"
09/12/1998,"7572,86",,"0,79",,"1,17"
10/12/1998,"7530,49",,"0,8",,"1,17"
11/12/1998,"7195,35",,"0,72",,"1,12"
14/12/1998,"6583,74",,"0,69",,"1,01"
15/12/1998,"6934,26",,"0,74",,"1,05"
16/12/1998,"6618,68",,"0,72",,1
17/12/1998,"6645,42",,"0,74",,1
18/12/1998,"6781,84",,"0,75",,"1,01"
21/12/1998,"7201,79",,"0,81",,"1,07"
22/12/1998,"7115,07",,"0,79",,"1,11"
23/12/1998,"7176,03",,"0,79",,"1,12"
28/12/1998,"6898,98",,"0,78",,"1,06"
29/12/1998,"6715,13",,"0,77",,"1,02"
30/12/1998,"6784,33",,"0,79",,"1,04"
04/01/1999,"6941,99",,"0,81",,"1,01"
05/01/1999,"7110,84",,"0,83",,"1,05"
06/01/1999,"7330,72",,"0,85",,"1,09"
07/01/1999,"6954,17",,"0,83",,"1,06"
08/01/1999,"6781,41",,"0,83",,"1,02"
11/01/1999,"6403,26",,"0,81",,"0,95"
12/01/1999,"5915,55",,"0,77",,"0,91"
13/01/1999,"5617,06",,"0,84",,"0,82"
14/01/1999,"5057,19",,"0,87",,"0,66"
15/01/1999,"6746,74",,"1,3",,"0,8"
18/01/1999,"7113,32",,"1,2",,"0,84"
19/01/1999,"7380,53",,"1,21",,"0,85"
20/01/1999,"7674,10",,"1,33",,"0,91"
21/01/1999,"7321,32",,"1,29",,"0,89"
22/01/1999,"7190,21",,"1,3",,"0,85"
26/01/1999,"7645,46",,"1,41",,"0,87"
27/01/1999,"7687,14",,"1,49",,"0,87"
28/01/1999,"7987,13",,"1,55",,"0,99"
29/01/1999,"8171,56",,"1,55",,"1,04"
01/02/1999,"8891,03",,"1,51",,"1,16"
02/02/1999,"8731,70",,"1,4",,"1,21"
03/02/1999,"8676,03",,"1,38",,"1,19"
04/02/1999,"8652,94",,"1,42",,"1,19"
05/02/1999,"8435,48",,"1,41",,"1,14"
08/02/1999,"8824,27",,"1,47",,"1,21"
09/02/1999,"8673,00",,"1,44",,"1,18"
10/02/1999,"8853,21",,"1,5",,"1,19"
11/02/1999,"8990,13",,"1,42",,"1,18"
12/02/1999,"8952,30",,"1,44",,"1,15"
17/02/1999,"8974,01",,"1,42",,"1,16"
18/02/1999,"8860,68",,"1,37",,"1,19"
19/02/1999,"9013,15",,"1,42",,"1,23"
22/02/1999,"9074,55",,"1,41",,"1,29"
23/02/1999,"8942,68",,"1,41",,"1,28"
24/02/1999,"8953,18",,"1,41",,"1,24"
25/02/1999,"8674,20",,"1,36",,"1,19"
26/02/1999,"8910,72",,"1,36",,"1,23"
01/03/1999,"9198,00",,"1,38",,"1,29"
02/03/1999,"9070,65",,"1,37",,"1,28"
03/03/1999,"9154,80",,"1,41",,"1,27"
04/03/1999,"9508,09",,"1,4",,"1,34"
05/03/1999,"9465,09",,"1,38",,"1,37"
08/03/1999,"9785,84",,"1,37",,"1,44"
09/03/1999,"9484,01",,"1,25",,"1,43"
10/03/1999,"9778,11",,"1,25",,"1,5"
11/03/1999,"9697,67",,"1,22",,"1,54"
12/03/1999,"9574,24",,"1,3",,"1,53"
15/03/1999,"10413,65",,"1,37",,"1,67"
16/03/1999,"10658,39",,"1,37",,"1,67"
17/03/1999,"10634,76",,"1,35",,"1,65"
18/03/1999,"10894,36",,"1,41",,"1,67"
19/03/1999,"10835,86",,"1,41",,"1,7"
22/03/1999,"10527,07",,"1,41",,"1,64"
23/03/1999,"10416,95",,"1,37",,"1,61"
24/03/1999,"10428,54",,"1,3",,"1,56"
25/03/1999,"10937,11",,"1,32",,"1,73"
26/03/1999,"10865,44",,"1,29",,"1,73"
29/03/1999,"10868,89",,"1,27",,"1,78"
30/03/1999,"11027,58",,"1,3",,"1,86"
31/03/1999,"10696,35",,"1,31",,"1,87"
05/04/1999,"11021,53",,"1,38",,"1,98"
06/04/1999,"11165,65",,"1,39",,"2,06"
07/04/1999,"11529,92",,"1,43",,"2,15"
08/04/1999,"11465,72",,"1,45",,"2,14"
09/04/1999,"11328,55",,"1,44",,"2,06"
12/04/1999,"11429,88",,"1,42",,"2,08"
13/04/1999,"11217,33",,"1,41",,"2,06"
14/04/1999,"11305,80",,"1,47",,"2,08"
15/04/1999,"11245,55",,"1,55",,"2,07"
16/04/1999,"11428,77",,"1,72",,"2,11"
19/04/1999,"11196,60",,"1,55",,"2,08"
20/04/1999,"10989,42",,"1,62",,"1,99"
22/04/1999,"11083,93",,"1,63",,"1,99"
23/04/1999,"11031,91",,"1,71",,"1,97"
26/04/1999,"10797,92",,"1,64",,"1,92"
27/04/1999,"10885,36",,"1,58",,"1,89"
28/04/1999,"11127,21",,"1,62",,"1,91"
29/04/1999,"11085,25",,"1,65",,"1,86"
30/04/1999,"11350,56",,"1,66",,"2,1"
03/05/1999,"11436,90",,"1,71",,"2,11"
04/05/1999,"11268,19",,"1,74",,"2,06"
05/05/1999,"11578,43",,"1,94",,"2,09"
06/05/1999,"11888,87",,"1,96",,"2,11"
07/05/1999,"12233,23",,"1,99",,"2,15"
10/05/1999,"12412,27",,"1,95",,"2,11"
11/05/1999,"12267,40",,"1,84",,"2,11"
12/05/1999,"12147,70",,"1,81",,"2,09"
13/05/1999,"12459,16",,"1,86",,"2,17"
14/05/1999,"12335,14",,"1,89",,"2,16"
17/05/1999,"12151,11",,"1,83",,"2,1"
18/05/1999,"12267,84",,"1,82",,"2,04"
19/05/1999,"12118,31",,"1,81",,"1,99"
20/05/1999,"12088,24",,"1,78",,"1,99"
21/05/1999,"11727,81",,"1,7",,"1,94"
24/05/1999,"11154,61",,"1,62",,"1,87"
25/05/1999,"10602,18",,"1,58",,"1,78"
26/05/1999,"11245,11",,"1,66",,"1,92"
27/05/1999,"10936,95",,"1,59",,"1,96"
28/05/1999,"10929,67",,"1,58",,"1,93"
31/05/1999,"11089,61",,"1,62",,"1,98"
01/06/1999,"11050,65",,"1,6",,"1,99"
02/06/1999,"10996,50",,"1,59",,"1,95"
04/06/1999,"11233,70",,"1,61",,"1,98"
07/06/1999,"11047,47",,"1,62",,"1,93"
08/06/1999,"11032,87",,"1,63",,"1,91"
09/06/1999,"10889,90",,"1,62",,"1,85"
10/06/1999,"11089,18",,"1,66",,"1,89"
11/06/1999,"11104,55",,"1,77",,"1,87"
14/06/1999,"11084,04",,"1,77",,"1,88"
15/06/1999,"11183,13",,"1,82",,"1,89"
16/06/1999,"11643,51",,"1,82",,"1,98"
17/06/1999,"11628,73",,"1,83",,"2,02"
18/06/1999,"11877,24",,"1,86",,"2,04"
21/06/1999,"12005,36",,"1,87",,"2,12"
22/06/1999,"11974,44",,"1,84",,"2,18"
23/06/1999,"11792,22",,"1,84",,"2,15"
24/06/1999,"11430,77",,"1,82",,"2,1"
25/06/1999,"11219,58",,"1,81",,"2,04"
28/06/1999,"11264,01",,"1,82",,"2,06"
29/06/1999,"11379,29",,"1,82",,"2,08"
30/06/1999,"11626,94",,"1,81",,"2,16"
01/07/1999,"11708,12",,"1,83",,"2,18"
02/07/1999,"11835,58",,"1,83",,"2,22"
05/07/1999,"11936,01",,"1,81",,"2,2"
06/07/1999,"11674,39",,"1,82",,"2,23"
07/07/1999,"11745,00",,"1,85",,"2,24"
08/07/1999,"11509,03",,"1,89",,"2,18"
12/07/1999,"11273,24",,"1,91",,"2,16"
13/07/1999,"11302,88",,"1,96",,"2,14"
14/07/1999,"11349,43",,2,,"2,17"
15/07/1999,"11361,81",,2,,"2,16"
16/07/1999,"11407,10",,"2,02",,"2,19"
19/07/1999,"11451,72",,"2,08",,"2,19"
20/07/1999,"11274,14",,"2,07",,"2,19"
21/07/1999,"11302,59",,"2,13",,"2,18"
22/07/1999,"11238,59",,"2,09",,"2,18"
23/07/1999,"10989,09",,"1,99",,"2,09"
26/07/1999,"10675,31",,"1,95",,"2,04"
27/07/1999,"10734,56",,"1,92",,"2,05"
28/07/1999,"10691,07",,"1,87",,"2,05"
29/07/1999,"10568,34",,"1,81",,"2,01"
30/07/1999,"10441,90",,"1,83",,"2,03"
02/08/1999,"10211,04",,"1,84",,"1,99"
03/08/1999,"10264,62",,"1,77",,"2,04"
04/08/1999,"10172,42",,"1,73",,"2,04"
05/08/1999,"10195,71",,"1,74",,"2,03"
06/08/1999,"10038,86",,"1,8",,"1,92"
09/08/1999,"9948,48",,"1,86",,"1,87"
10/08/1999,"9834,62",,"1,85",,"1,83"
11/08/1999,"10136,98",,"1,89",,"1,91"
12/08/1999,"10045,98",,"2,03",,"1,86"
13/08/1999,"10180,90",,"2,03",,"1,9"
16/08/1999,"10118,57",,"2,03",,"1,87"
17/08/1999,"9924,65",,"2,03",,"1,86"
18/08/1999,"9689,35",,"2,03",,"1,85"
19/08/1999,"9818,12",,"2,03",,"1,87"
20/08/1999,"10142,54",,"2,07",,"1,99"
23/08/1999,"10180,80",,"2,1",,"1,99"
24/08/1999,"10314,01",,"2,12",,"1,99"
25/08/1999,"10650,03",,"2,16",,"1,97"
26/08/1999,"10496,06",,"2,2",,"1,95"
27/08/1999,"10545,10",,"2,24",,"1,99"
30/08/1999,"10524,17",,"2,27",,"1,99"
31/08/1999,"10564,60",,"2,28",,"2,03"
01/09/1999,"10902,34",,"2,36",,"2,08"
02/09/1999,"10998,22",,"2,28",,"2,13"
03/09/1999,"11156,23",,"2,25",,"2,18"
06/09/1999,"11185,45",,"2,25",,"2,16"
08/09/1999,"11090,48",,"2,27",,"2,17"
09/09/1999,"11292,04",,"2,29",,"2,2"
10/09/1999,"11363,36",,"2,23",,"2,2"
13/09/1999,"11477,63",,"2,22",,"2,23"
14/09/1999,"11459,22",,"2,25",,"2,23"
15/09/1999,"11263,11",,"2,2",,"2,21"
16/09/1999,"11094,44",,"2,21",,"2,21"
17/09/1999,"11290,05",,"2,18",,"2,32"
20/09/1999,"11586,25",,"2,21",,"2,37"
21/09/1999,"11449,49",,"2,2",,"2,37"
22/09/1999,"11531,18",,"2,2",,"2,42"
23/09/1999,"11385,04",,"2,19",,"2,39"
24/09/1999,"11532,82",,"2,21",,"2,38"
27/09/1999,"11542,17",,"2,26",,"2,38"
28/09/1999,"11442,40",,"2,22",,"2,36"
29/09/1999,"11433,54",,"2,19",,"2,35"
30/09/1999,"11106,31",,"2,19",,"2,25"
01/10/1999,"10959,83",,"2,15",,"2,24"
04/10/1999,"11055,42",,"2,18",,"2,3"
05/10/1999,"10923,57",,"2,18",,"2,26"
06/10/1999,"11345,37",,"2,2",,"2,35"
07/10/1999,"11338,06",,"2,19",,"2,37"
08/10/1999,"11459,50",,"2,19",,"2,37"
11/10/1999,"11478,17",,"2,2",,"2,29"
13/10/1999,"11297,70",,"2,12",,"2,24"
14/10/1999,"11330,31",,"2,09",,"2,25"
10/15/1999,"11146,49",,"2,07",,"2,2"
18/10/1999,"10978,22",,"2,04",,"2,18"
19/10/1999,"11097,65",,"2,04",,"2,23"
20/10/1999,"11274,85",,"2,05",,"2,28"
21/10/1999,"11253,59",,"2,02",,"2,3"
22/10/1999,"11460,62",,"2,06",,"2,41"
25/10/1999,"11394,29",,2,,"2,44"
26/10/1999,"11469,50",,"2,06",,"2,43"
27/10/1999,"11530,72",,"2,07",,"2,47"
28/10/1999,"11700,11",,"2,1",,"2,47"
29/10/1999,"11700,20",,"2,08",,"2,44"
01/11/1999,"11762,60",,"2,1",,"2,48"
03/11/1999,"12346,67",,"2,16",,"2,63"
04/11/1999,"12406,32",,"2,22",,"2,71"
05/11/1999,"12714,26",,"2,28",,"2,81"
08/11/1999,"12960,10",,"2,3",,"2,88"
09/11/1999,"12879,89",,"2,28",,"2,92"
10/11/1999,"13101,14",,"2,25",,"2,92"
11/11/1999,"13189,27",,"2,18",,"2,91"
12/11/1999,"13114,01",,"2,2",,"2,89"
16/11/1999,"13128,37",,"2,18",,"2,9"
17/11/1999,"12812,53",,"2,18",,"2,85"
18/11/1999,"13087,43",,"2,33",,"3,02"
19/11/1999,"13462,98",,"2,39",,"3,14"
22/11/1999,"13435,52",,"2,34",,"3,14"
23/11/1999,"13565,23",,"2,34",,"3,14"
24/11/1999,"13392,91",,"2,27",,"3,1"
25/11/1999,"13536,08",,"2,31",,"3,04"
26/11/1999,"13888,26",,"2,36",,"3,06"
29/11/1999,"13854,98",,"2,39",,"3,03"
30/11/1999,"13778,86",,"2,49",,"3,05"
01/12/1999,"13874,31",,"2,54",,"3,06"
02/12/1999,"14213,17",,"2,57",,"3,11"
03/12/1999,"14408,71",,"2,58",,"3,12"
06/12/1999,"14344,07",,"2,5",,"3,12"
07/12/1999,"14299,94",,"2,52",,"3,14"
08/12/1999,"14410,37",,"2,52",,"3,13"
09/12/1999,"14584,19",,"2,46",,"3,12"
10/12/1999,"14783,88",,"2,52",,"3,16"
13/12/1999,"14811,90",,"2,48",,"3,16"
14/12/1999,"14644,42",,"2,42",,"3,13"
